databaseId	name	imageUrl	cardBack	type	packName	deckbuilderQuantity	setUuid	numberInPack	encounterSet	unique	sphere	traits	keywords	cost	side	engagementCost	threat	willpower	attack	defense	hitPoints	questPoints	victoryPoints	cornerText	text	shadow	tags
d80da0f8-430e-4a67-91ca-35cc9d3afe8b	Spiders of Mirkwood	d80da0f8-430e-4a67-91ca-35cc9d3afe8b.jpg	encounter	Enemy	Two-Player Limited Edition Starter	2	56cb034f-6678-48c8-b874-16692e38b8fc	66	The Oath			Spider.				18	3		2	2	4				While it is engaged with you, Spiders of Mirkwood gets +1 [attack] for each exhausted character you control.		
84efd59f-f6f2-44c4-b995-8ad809dd25d1	Great Spider	84efd59f-f6f2-44c4-b995-8ad809dd25d1.jpg	encounter	Enemy	Two-Player Limited Edition Starter	2	56cb034f-6678-48c8-b874-16692e38b8fc	67	The Oath			Spider.				34	2		3	1	3				Forced: After Gret Spider engages you, exhaust a character you control.		
21b339e8-a5e9-4491-96cc-1a4b0f1b18cb	The Eaves of Mirkwood	21b339e8-a5e9-4491-96cc-1a4b0f1b18cb.jpg	encounter	Location	Two-Player Limited Edition Starter	2	56cb034f-6678-48c8-b874-16692e38b8fc	68	The Oath			Forest.					2					2			While The Eaves of Mirkwood is the active location, encounter card effects cannot be canceled.		
650522ec-c2e3-4e42-be7a-e87cceccc545	Tangled Grove	650522ec-c2e3-4e42-be7a-e87cceccc545.jpg	encounter	Location	Two-Player Limited Edition Starter	2	56cb034f-6678-48c8-b874-16692e38b8fc	69	The Oath			Forest.					X					3			X is the number of locations in the staging area.Travel: Each player must discard 1 random card from his hand to travel here.		
96b72fe4-c42d-469d-9741-294c4da73278	Forest Gate	96b72fe4-c42d-469d-9741-294c4da73278.jpg	encounter	Location	Two-Player Limited Edition Starter	2	56cb034f-6678-48c8-b874-16692e38b8fc	70	The Oath			Forest.					2					4			Response: After you travel to Forest Gate, the first player draws 2 cards.		
52e70f35-b859-494e-81d0-8be66f519a2a	Spider Den	52e70f35-b859-494e-81d0-8be66f519a2a.jpg	encounter	Location	Two-Player Limited Edition Starter	2	56cb034f-6678-48c8-b874-16692e38b8fc	71	The Oath			Forest.					4					4			Quest Action: Search the encounter deck and discard pile for a Spider enemy and put it into play engaged with you to discard Spider Den. (Any player may trigger this effect.)		
251c0ba0-a466-401e-b762-b2fef09ea96a	Goblin Trail	251c0ba0-a466-401e-b762-b2fef09ea96a.jpg	encounter	Location	Two-Player Limited Edition Starter	2	56cb034f-6678-48c8-b874-16692e38b8fc	72	The Oath			Forest.					3					6	3		Travel: Reveal the top card of the encounter deck to travel here.Response: When Goblin Trail leaves play as an explored location, place 6 progress on the current quest.		
64813258-1533-420c-9fce-4d4c1f13c99d	Driven by Shadow	64813258-1533-420c-9fce-4d4c1f13c99d.jpg	encounter	Treachery	Two-Player Limited Edition Starter	2	56cb034f-6678-48c8-b874-16692e38b8fc	73	The Oath																When Revealed: Each enemy and each location currently in the staging area gets +1 [threat] until the end of the phase. If there are no cards in the staging area, Driven by Shadow gains surge.		
4af27413-5674-4352-b54a-7f12c4fa0afc	Surprising Speed	4af27413-5674-4352-b54a-7f12c4fa0afc.jpg	encounter	Treachery	Two-Player Limited Edition Starter	2	56cb034f-6678-48c8-b874-16692e38b8fc	74	The Oath																When Revealed: Each player returns 1 enemy engaged with him to the staging area. If no enemy was returned to the staging area this way, Surprising Speed gains surge and doomed 1.		
460b83ed-986a-496b-9b38-627c77a836e9	Caught in a Web	460b83ed-986a-496b-9b38-627c77a836e9.jpg	encounter	Treachery	Two-Player Limited Edition Starter	1	56cb034f-6678-48c8-b874-16692e38b8fc	75	The Oath																When Revealed: The player with the highest threat level attached this card to one of his heroes. (Counts as a Condition attachment with the text: `Attached hero does not ready during the refresh phase unless you pay 2 resources from that hero`s pool.`)		
