databaseId	name	imageUrl	cardBack	type	packName	deckbuilderQuantity	setUuid	numberInPack	encounterSet	unique	sphere	traits	keywords	cost	side	engagementCost	threat	willpower	attack	defense	hitPoints	questPoints	victoryPoints	cornerText	text	shadow	tags
12da9483-0fce-43c6-ae47-4cc2aea9cde9	Journey Up the Anduin	12da9483-0fce-43c6-ae47-4cc2aea9cde9.jpg	multi_sided	Campaign	Ered Mithrin Campaign Expansion	1	6a123783-e0df-47cf-a2a8-9926dbef2832	165	Journey Up the Anduin	0															You are playing campaign mode. Setup: Any player gains control of Turayn. Shuffle A Growing Threat into the encounter deck. Response: After you explore a non-unique location, put a resource here. Then, if there are X resources here, the players look at 3 random undiscovered treasures and choose 1 to attach to an eligible character. X is 3 more than the number of players in the game.		
12da9483-0fce-43c6-ae47-4cc2aea9cde9	Journey Up the Anduin	12da9483-0fce-43c6-ae47-4cc2aea9cde9.B.jpg	multi_sided	Campaign	Ered Mithrin Campaign Expansion	1	6a123783-e0df-47cf-a2a8-9926dbef2832	165	Journey Up the Anduin	0															Resolution: The heroes' selfless valor in protecting the refugees from Harad has inspired Turayn. If the heroes choose to accept his aid, add Turayn to the campaign pool (any player may add him to their deck). Otherwise, mark in the campaign log that “Turayn has taken an oath of vigilance” (he will follow the heroes' example and continue to protect the free folk of Wilderland). The players discover each treasure they control. Add A Growing Threat and each Evil Creatures enemy in play to the campaign pool.		
11c21088-664c-4a2c-87b5-626a2dc87f68	Turayn	11c21088-664c-4a2c-87b5-626a2dc87f68.jpg	player	Ally	Ered Mithrin Campaign Expansion	1	6a123783-e0df-47cf-a2a8-9926dbef2832	166		1	Boon	Harad. Warrior.	Sentinel.	2				1	2	3	3				Response: After Turayn exhausts, choose another character. The next time that character would be dealt damage this round, cancel 1 of that damage.		
1867be3d-5b9b-4ab9-8553-cb9e96302df4	A Growing Threat	1867be3d-5b9b-4ab9-8553-cb9e96302df4.jpg	encounter	Treachery	Ered Mithrin Campaign Expansion	1	6a123783-e0df-47cf-a2a8-9926dbef2832	167	Journey Up the Anduin	0	Burden		Surge.												When Revealed: Set aside the topmost non-unique, non-objective, non-burden encounter card in the encounter discard pile. During quest resolution, add a copy of that card to the campaign pool, if able. Remove A Growing Threat from the game.		
28491ce2-ffc5-4f26-ab6d-88b68d59ea63	Lost In Mirkwood	28491ce2-ffc5-4f26-ab6d-88b68d59ea63.jpg	multi_sided	Campaign	Ered Mithrin Campaign Expansion	1	6a123783-e0df-47cf-a2a8-9926dbef2832	168	Lost In Mirkwood	0															You are playing campaign mode. Setup: Any player gains control of Melanwar. The first player may search the encounter deck for a copy of Twilight Hall and add it to the staging area. If they do, the players look at 3 random undiscovered treasures and attach 1 of them to Twilight Hall as a guarded objective. When free of encounters, the players claim the treasure and attach it to any character.		
28491ce2-ffc5-4f26-ab6d-88b68d59ea63	Lost In Mirkwood	28491ce2-ffc5-4f26-ab6d-88b68d59ea63.B.jpg	multi_sided	Campaign	Ered Mithrin Campaign Expansion	1	6a123783-e0df-47cf-a2a8-9926dbef2832	168	Lost In Mirkwood	0															Resolution: At the edge of the forest, Melanwar pledged his friendship to the heroes, moved by their altruism and their willingness to trust a stranger. If the heroes choose to invite him to join their quest, add Melanwar to the campaign pool (any player may add him to their deck). Otherwise, mark in the campaign log that “Melanwar has given you guidance on traversing Wilderland” (you can more safely navigate the mountains). The players discover each treasure they control. Discard cards from the encounter deck until X cards from either the Spiders of Mirkwood or Dol Guldur Orcs encounter set have been discarded and add those cards to the campaign pool. X is equal to the number of players in the game.		
93444081-b21b-42e5-8d78-24668c016d30	Melanwar	93444081-b21b-42e5-8d78-24668c016d30.jpg	player	Ally	Ered Mithrin Campaign Expansion	1	6a123783-e0df-47cf-a2a8-9926dbef2832	169		1	Boon	Silvan. Ranger.	Ranged.	1				2	2	0	3				Response: After the travel phase begins, exhaust Melanwar to place 1 progress on the active location. If you quested unsuccessfully this round, place 3 progress on the active location instead.		
3d3d4db9-873a-48a6-8a2d-e50abc5533f5	The King's Quest	3d3d4db9-873a-48a6-8a2d-e50abc5533f5.jpg	multi_sided	Campaign	Ered Mithrin Campaign Expansion	1	6a123783-e0df-47cf-a2a8-9926dbef2832	170	The King's Quest	0															You are playing campaign mode. Setup: Each player may change hero cards without incurring the +1 threat penalty, and Haldan may be included among a player's heroes. Any player gains control of Isolde. Add The Threat to Wilderland to the staging area, shuffle Dagnir's Spawn into the encounter deck, and shuffle Abandoned Ruin into the Caves deck. If “Turayn has taken an oath of vigilance,” search the encounter deck for 3 treacheries and remove them from the game.		
3d3d4db9-873a-48a6-8a2d-e50abc5533f5	The King's Quest	3d3d4db9-873a-48a6-8a2d-e50abc5533f5.B.jpg	multi_sided	Campaign	Ered Mithrin Campaign Expansion	1	6a123783-e0df-47cf-a2a8-9926dbef2832	170	The King's Quest	0															Resolution: While the Fire-drake has been vanquished, it was not the beast the heroes were sent to defeat. With the Fire-drake's mother still at large, Isolde has resolved to continue the hunt. If the heroes choose to fight alongside her, add Isolde to the campaign pool (any player may add her to their deck). Otherwise, mark in the campaign log that “Isolde is on the hunt” (the dragon's minions will pose less of a threat on your quest). The players discover each treasure they control. Add Abandoned Ruin to the campaign pool. The first player chooses either Threat to Wilderland or Dagnir's Spawn and add it to the campaign pool.		
ea5bf4af-7011-4d33-bcf3-98e2edc88487	Isolde	ea5bf4af-7011-4d33-bcf3-98e2edc88487.jpg	player	Ally	Ered Mithrin Campaign Expansion	1	6a123783-e0df-47cf-a2a8-9926dbef2832	171		1	Boon	Dale. Warrior.		2				1	3	1	3				Isolde gets +2 [willpower] while she has an Item attachment. Response: After you engage an enemy, ready Isolde.		
