databaseId	cerebroId	marvelcdbId	name	subname	type	classification	imageUrl	cardBack	traits	handSize	hitPointsFixed	hitPointsScaling	set	stage	startingThreatFixed	startingThreatScaling	accelerationFixed	accelerationScaling	acceleration	amplify	crisis	hazard	toughness	permanent	nemesisMinion	victory
3f18e9be-240c-54c5-860e-9b9d1a038314	00001	00001	Ronan the Accuser		Minion	Encounter	/official/00001.jpg	encounter	Accuser Corps,Elite,Kree			9	Kree Fanatic										true	false	true	
c115af60-c59c-5ce0-aea9-79617c62e205	00002	00002	Judge, Jury, Executioner		Side Scheme	Encounter	/official/00002.jpg	encounter					Kree Fanatic			3			1				false	false	false	
ee0c60cd-927d-5eb6-a576-d7ac4a2e03e9	00003	00003	The Accused		Attachment	Encounter	/official/00003.jpg	encounter	Condition				Kree Fanatic										false	false	false	
ce28e7b4-a1ee-53dc-bd53-adbae130a78d	00004	00004	Bring the Hammer Down		Treachery	Encounter	/official/00004.jpg	encounter					Kree Fanatic										false	false	false	
f8877fd3-cfb6-5029-ad8d-d5b165789934	00005	00005	"""You Dare Oppose Me?"""		Treachery	Encounter	/official/00005.jpg	encounter					Kree Fanatic										false	false	false	
c92a3f54-6113-5ef4-8a82-f8a366cf499c	01001A	01001a	Spider-Man	Peter Parker	Hero	Hero	/official/01001A.jpg	multi_sided	Avenger	5	10		Spider-Man										false	false	false	
c92a3f54-6113-5ef4-8a82-f8a366cf499c	01001B	01001b	Peter Parker	Spider-Man	Alter-Ego	Hero	/official/01001B.jpg	multi_sided	Genius	6	10		Spider-Man										false	false	false	
5a597d72-8f94-5cf0-b84b-5253bc374302	01002	01002	Black Cat	Felicia Hardy	Ally	Hero	/official/01002.jpg	player	Hero for Hire		2		Spider-Man										false	false	false	
d4f6535b-a0f4-5ef1-b778-509329bc5b69	01003	01003	Backflip		Event	Hero	/official/01003.jpg	player	Defense,Skill				Spider-Man										false	false	false	
c52b7e43-bd94-55ae-889e-ea8205dfd3f2	01004	01004	Enhanced Spider-Sense		Event	Hero	/official/01004.jpg	player	Superpower				Spider-Man										false	false	false	
c6999c64-b8e0-5929-9670-305d675b99ba	01005	01005	Swinging Web Kick		Event	Hero	/official/01005.jpg	player	Aerial,Attack,Superpower				Spider-Man										false	false	false	
0456bb15-b045-5a89-8c50-adc4d7b6fa33	01006	01006	Aunt May		Support	Hero	/official/01006.jpg	player	Persona				Spider-Man										false	false	false	
3115548d-e6ce-5d78-a259-f828481f7887	01007	01007	Spider-Tracer		Upgrade	Hero	/official/01007.jpg	player	Item,Tech				Spider-Man										false	false	false	
73027f2b-119d-5f3e-9049-0fb9aff7f0ce	01008	01008	Web-Shooter		Upgrade	Hero	/official/01008.jpg	player	Item,Tech				Spider-Man										false	false	false	
3ecc9de6-866a-5ece-b614-128cd6be6296	01009	01009	Webbed Up		Upgrade	Hero	/official/01009.jpg	player	Condition				Spider-Man										false	false	false	
453a3be5-1741-5491-a2b1-c93debc1c0ca	01010A	01010a	Captain Marvel	Carol Danvers	Hero	Hero	/official/01010A.jpg	multi_sided	Avenger,Soldier	5	12		Captain Marvel										false	false	false	
453a3be5-1741-5491-a2b1-c93debc1c0ca	01010B	01010b	Carol Danvers	Captain Marvel	Alter-Ego	Hero	/official/01010B.jpg	multi_sided	S.H.I.E.L.D.,Soldier	6	12		Captain Marvel										false	false	false	
aff2ecd0-fc0e-55cf-8fe1-382be90b135c	01011	01011	Spider-Woman	Jessica Drew	Ally	Hero	/official/01011.jpg	player	Avenger,Spy		2		Captain Marvel										false	false	false	
663499a0-8378-557b-b068-fb4656f4e374	01012	01012	Crisis Interdiction		Event	Hero	/official/01012.jpg	player	Thwart				Captain Marvel										false	false	false	
101706a2-7839-5333-87da-2fcafadf5bd3	01013	01013	Photonic Blast		Event	Hero	/official/01013.jpg	player	Attack,Superpower				Captain Marvel										false	false	false	
182585c7-4606-50c3-a9bc-6c87d5cb0289	01014	01014	Energy Absorption		Resource	Hero	/official/01014.jpg	player					Captain Marvel										false	false	false	
4e9daa50-1644-509a-945c-6c860fcfa79f	01015	01015	Alpha Flight Station		Support	Hero	/official/01015.jpg	player	Location,S.H.I.E.L.D.				Captain Marvel										false	false	false	
2e5a3ea5-eb32-50be-9bb9-26c5e2f1dbd5	01016	01016	Captain Marvel's Helmet		Upgrade	Hero	/official/01016.jpg	player	Armor,Tech				Captain Marvel										false	false	false	
5dfa61bb-02e9-50ca-89a0-d1f3af88e378	01017	01017	Cosmic Flight		Upgrade	Hero	/official/01017.jpg	player	Superpower				Captain Marvel										false	false	false	
a79998ad-e35f-5d1b-b35f-cfaf0dabc42b	01018	01018	Energy Channel		Upgrade	Hero	/official/01018.jpg	player	Superpower				Captain Marvel										false	false	false	
b90a942c-221e-515d-8f6a-1b927049298f	01019A	01019a	She-Hulk	Jennifer Walters	Hero	Hero	/official/01019A.jpg	multi_sided	Avenger,Gamma	4	15		She-Hulk										false	false	false	
b90a942c-221e-515d-8f6a-1b927049298f	01019B	01019b	Jennifer Walters	She-Hulk	Alter-Ego	Hero	/official/01019B.jpg	multi_sided	Attorney,Gamma	6	15		She-Hulk										false	false	false	
e804778b-d55a-504f-8afa-50d5052c92e1	01020	01020	Hellcat	Patsy Walker	Ally	Hero	/official/01020.jpg	player	Avenger		3		She-Hulk										false	false	false	
6fe4edae-253b-57b2-9189-3aa4522a4abc	01021	01021	Gamma Slam		Event	Hero	/official/01021.jpg	player	Attack,Superpower				She-Hulk										false	false	false	
a9f9047a-6651-52be-ad06-b41dda09753a	01022	01022	Ground Stomp		Event	Hero	/official/01022.jpg	player	Superpower				She-Hulk										false	false	false	
3a125cfa-c3ed-56e8-8832-786c38c74189	01023	01023	Legal Practice		Event	Hero	/official/01023.jpg	player	Skill,Thwart				She-Hulk										false	false	false	
15e9ffe8-3d07-5345-8263-a94048f1d5e4	01024	01024	One-Two Punch		Event	Hero	/official/01024.jpg	player	Skill				She-Hulk										false	false	false	
4f967490-980f-52a7-ab43-043fc98a2715	01025	01025	Split Personality		Event	Hero	/official/01025.jpg	player					She-Hulk										false	false	false	
d235a070-197c-5d0c-8b0b-4c853cea629c	01026	01026	Superhuman Law Division		Support	Hero	/official/01026.jpg	player	Location				She-Hulk										false	false	false	
8ed54874-bd83-583a-ae84-7bea1b4bd5a2	01027	01027	Focused Rage		Upgrade	Hero	/official/01027.jpg	player	Skill				She-Hulk										false	false	false	
bbb9d9c2-1bf8-5486-8c9e-27a523a5ba56	01028	01028	Superhuman Strength		Upgrade	Hero	/official/01028.jpg	player	Superpower				She-Hulk										false	false	false	
7050bee0-051f-5b81-9b35-80a294d032df	01029A	01029a	Iron Man	Tony Stark	Hero	Hero	/official/01029A.jpg	multi_sided	Avenger	1	9		Iron Man										false	false	false	
7050bee0-051f-5b81-9b35-80a294d032df	01029B	01029b	Tony Stark	Iron Man	Alter-Ego	Hero	/official/01029B.jpg	multi_sided	Genius	6	9		Iron Man										false	false	false	
4a95d076-1446-5fef-881b-424be216878a	01030	01030	War Machine	James Rhodes	Ally	Hero	/official/01030.jpg	player	S.H.I.E.L.D.,Soldier		4		Iron Man										false	false	false	
17e02573-8678-51c6-a4c3-ee302832962d	01031	01031	Repulsor Blast		Event	Hero	/official/01031.jpg	player	Attack,Superpower				Iron Man										false	false	false	
2f01208e-4586-5117-ac10-4449a8f5eb99	01032	01032	Supersonic Punch		Event	Hero	/official/01032.jpg	player	Attack				Iron Man										false	false	false	
3175a974-cb51-5764-b4f5-0475ff8a915e	01033	01033	Pepper Potts		Support	Hero	/official/01033.jpg	player	Persona				Iron Man										false	false	false	
f1606c95-8de1-5bef-8b8e-24bf0a1120c9	01034	01034	Stark Tower		Support	Hero	/official/01034.jpg	player	Location				Iron Man										false	false	false	
44759502-628c-5165-9e32-2d9edbcb4d63	01035	01035	Arc Reactor		Upgrade	Hero	/official/01035.jpg	player	Item,Tech				Iron Man										false	false	false	
52fc993f-ad9f-5908-9dd2-305b1861d2ab	01036	01036	Mark V Armor		Upgrade	Hero	/official/01036.jpg	player	Armor,Tech				Iron Man										false	false	false	
76620371-945a-5cd5-9ab7-d4e2d8a36f9d	01037	01037	Mark V Helmet		Upgrade	Hero	/official/01037.jpg	player	Armor,Tech				Iron Man										false	false	false	
f7cbdb8c-85cf-58d8-b711-5c97912c6915	01038	01038	Powered Gauntlets		Upgrade	Hero	/official/01038.jpg	player	Armor,Tech				Iron Man										false	false	false	
8f555eec-8405-52af-8d54-be22619e718e	01039	01039	Rocket Boots		Upgrade	Hero	/official/01039.jpg	player	Armor,Tech				Iron Man										false	false	false	
d3952869-1bf8-57c4-b9fb-b6834a2dc365	01040A	01040a	Black Panther	T'Challa	Hero	Hero	/official/01040A.jpg	multi_sided	Avenger,Wakanda	5	11		Black Panther										false	false	false	
d3952869-1bf8-57c4-b9fb-b6834a2dc365	01040B	01040b	T'Challa	Black Panther	Alter-Ego	Hero	/official/01040B.jpg	multi_sided	King,Wakanda	6	11		Black Panther										false	false	false	
eddf8866-e463-5380-8975-eff7dbf14c83	01041	01041	Shuri		Ally	Hero	/official/01041.jpg	player	Genius,Wakanda		3		Black Panther										false	false	false	
8a8133a1-5234-5e26-a4f1-cf8a401e2c5c	01042	01042	Ancestral Knowledge		Event	Hero	/official/01042.jpg	player					Black Panther										false	false	false	
9e8d8474-3721-5ad9-b830-0b722a70193c	01043A	01043a	Wakanda Forever!		Event	Hero	/official/01043A.jpg	player	Tactic				Black Panther										false	false	false	
38f8f7b3-8787-5563-bdbb-e8511044b7ae	01043B	01043b	Wakanda Forever!		Event	Hero	/official/01043B.jpg	player	Tactic				Black Panther										false	false	false	
b9396f65-c1f1-539b-a3e7-743c1073c70f	01043C	01043c	Wakanda Forever!		Event	Hero	/official/01043C.jpg	player	Tactic				Black Panther										false	false	false	
b3da0d8e-52e1-5427-afa9-1b7b71fb3ee2	01043D	01043d	Wakanda Forever!		Event	Hero	/official/01043D.jpg	player	Tactic				Black Panther										false	false	false	
f034f630-df56-5319-89b1-c0e8f4829328	01044	01044	Vibranium		Resource	Hero	/official/01044.jpg	player					Black Panther										false	false	false	
defcd232-730d-5f06-9d95-f5b14f196cb3	01045	01045	The Golden City		Support	Hero	/official/01045.jpg	player	Location,Wakanda				Black Panther										false	false	false	
1b34bd1a-3faa-525c-88d0-e008303b45b0	01046	01046	Energy Daggers		Upgrade	Hero	/official/01046.jpg	player	Black Panther,Weapon				Black Panther										false	false	false	
